session_id,timestamp,student_id,query_text,matched_concept_id,similarity_score,current_step,mastery_score,feedback_status
sess-9511499e,2026-09-02T16:35:18.364564+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2616,1,0.196,viewed_step_1
sess-9511499e,2026-09-02T16:35:18.365746+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2616,2,0.196,viewed_step_2
sess-9511499e,2026-09-02T16:35:18.366766+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2616,3,0.196,viewed_step_3
sess-9511499e,2026-09-02T16:35:18.367763+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2616,4,0.196,viewed_step_4
sess-9511499e,2026-09-02T16:35:18.368949+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2616,4,0.547,quiz_correct
sess-a6e00c54,2026-09-02T16:35:36.336813+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2616,1,0.196,initialized
sess-a6e00c54,2026-09-02T16:35:36.337100+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2616,1,0.196,viewed_step_1
sess-a6e00c54,2026-09-02T16:35:36.337973+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2616,2,0.196,viewed_step_2
sess-a6e00c54,2026-09-02T16:35:36.338664+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2616,3,0.196,viewed_step_3
sess-a6e00c54,2026-09-02T16:35:36.339261+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2616,4,0.196,viewed_step_4
sess-a6e00c54,2026-09-02T16:35:36.339873+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2616,4,0.547,quiz_correct
sess-2d3afa80,2026-09-02T16:39:15.410646+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4127,1,0.310,initialized
sess-2d3afa80,2026-09-02T16:39:15.411550+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4127,1,0.310,viewed_step_1
sess-2d3afa80,2026-09-02T16:39:15.412352+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4127,2,0.310,viewed_step_2
sess-2d3afa80,2026-09-02T16:39:15.413183+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4127,3,0.310,viewed_step_3
sess-2d3afa80,2026-09-02T16:39:15.413781+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4127,4,0.310,viewed_step_4
sess-2d3afa80,2026-09-02T16:39:15.414333+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4127,4,0.675,quiz_correct
sess-a4f287e8,2026-09-02T16:39:21.254429+00:00,student_local,why is brain white,BIO-C21-01,0.2260,1,0.170,initialized
sess-a4f287e8,2026-09-02T16:39:21.254806+00:00,student_local,why is brain white,BIO-C21-01,0.2260,1,0.170,viewed_step_1
sess-767faa23,2026-09-02T17:14:49.617334+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,1,0.198,initialized
sess-767faa23,2026-09-02T17:14:49.617752+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,1,0.198,viewed_step_1
sess-767faa23,2026-09-02T17:14:49.618964+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,2,0.198,viewed_step_2
sess-767faa23,2026-09-02T17:14:49.620069+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,3,0.198,viewed_step_3
sess-767faa23,2026-09-02T17:14:49.621403+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,4,0.198,viewed_step_4
sess-767faa23,2026-09-02T17:14:49.622512+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,4,0.550,quiz_correct
sess-ee66bc46,2026-09-02T17:14:49.781708+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,1,0.297,initialized
sess-ee66bc46,2026-09-02T17:14:49.782196+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,1,0.297,viewed_step_1
sess-ee66bc46,2026-09-02T17:14:49.782544+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,2,0.297,viewed_step_2
sess-ee66bc46,2026-09-02T17:14:49.782764+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,3,0.297,viewed_step_3
sess-ee66bc46,2026-09-02T17:14:49.783093+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,4,0.297,viewed_step_4
sess-ee66bc46,2026-09-02T17:14:49.783481+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,4,0.663,quiz_correct
sess-21713050,2026-09-02T17:22:42.583318+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,1,0.198,initialized
sess-21713050,2026-09-02T17:22:42.583979+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,1,0.198,viewed_step_1
sess-21713050,2026-09-02T17:22:42.586524+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,2,0.198,viewed_step_2
sess-2e32a915,2026-09-02T17:22:42.713778+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,1,0.297,initialized
sess-2e32a915,2026-09-02T17:22:42.714159+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,1,0.297,viewed_step_1
sess-2e32a915,2026-09-02T17:22:42.717528+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,2,0.297,viewed_step_2
sess-c4cfd699,2026-09-02T17:23:10.682345+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,1,0.198,initialized
sess-c4cfd699,2026-09-02T17:23:10.682804+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,1,0.198,viewed_step_1
sess-c4cfd699,2026-09-02T17:23:10.685645+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,2,0.198,viewed_step_2
sess-c4cfd699,2026-09-02T17:23:10.689223+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,3,0.198,viewed_step_3
sess-c4cfd699,2026-09-02T17:23:10.692162+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,4,0.198,viewed_step_4
sess-c4cfd699,2026-09-02T17:23:10.695256+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,4,0.550,quiz_correct
sess-68364f66,2026-09-02T17:23:10.852059+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,1,0.297,initialized
sess-68364f66,2026-09-02T17:23:10.852558+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,1,0.297,viewed_step_1
sess-68364f66,2026-09-02T17:23:10.854847+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,2,0.297,viewed_step_2
sess-68364f66,2026-09-02T17:23:10.857006+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,3,0.297,viewed_step_3
sess-91974007,2026-09-02T17:23:23.780394+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,1,0.198,initialized
sess-91974007,2026-09-02T17:23:23.780808+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,1,0.198,viewed_step_1
sess-91974007,2026-09-02T17:23:23.783125+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,2,0.198,viewed_step_2
sess-91974007,2026-09-02T17:23:23.786217+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,3,0.198,viewed_step_3
sess-91974007,2026-09-02T17:23:23.789062+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,4,0.198,viewed_step_4
sess-91974007,2026-09-02T17:23:23.792218+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2636,4,0.550,quiz_correct
sess-c1ae1da5,2026-09-02T17:23:23.920316+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,1,0.297,initialized
sess-c1ae1da5,2026-09-02T17:23:23.920690+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,1,0.297,viewed_step_1
sess-c1ae1da5,2026-09-02T17:23:23.923854+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,2,0.297,viewed_step_2
sess-c1ae1da5,2026-09-02T17:23:23.925997+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,3,0.297,viewed_step_3
sess-c1ae1da5,2026-09-02T17:23:23.927800+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,4,0.297,viewed_step_4
sess-c1ae1da5,2026-09-02T17:23:23.931293+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3962,4,0.663,quiz_correct
sess-babb5b1c,2026-09-02T17:29:31.988574+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2933,1,0.220,initialized
sess-babb5b1c,2026-09-02T17:29:31.988888+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2933,1,0.220,viewed_step_1
sess-babb5b1c,2026-09-02T17:29:31.991151+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2933,2,0.220,viewed_step_2
sess-babb5b1c,2026-09-02T17:29:31.993513+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2933,3,0.220,viewed_step_3
sess-babb5b1c,2026-09-02T17:29:31.995878+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2933,4,0.220,viewed_step_4
sess-babb5b1c,2026-09-02T17:29:31.997926+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2933,4,0.578,quiz_correct
sess-00cf6583,2026-09-02T17:29:32.179584+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4379,1,0.328,initialized
sess-00cf6583,2026-09-02T17:29:32.180108+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4379,1,0.328,viewed_step_1
sess-00cf6583,2026-09-02T17:29:32.183256+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4379,2,0.328,viewed_step_2
sess-00cf6583,2026-09-02T17:29:32.187846+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4379,3,0.328,viewed_step_3
sess-00cf6583,2026-09-02T17:29:32.191192+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4379,4,0.328,viewed_step_4
sess-00cf6583,2026-09-02T17:29:32.194406+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4379,4,0.692,quiz_correct
sess-fed75aad,2026-09-02T17:36:05.126441+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2905,1,0.218,initialized
sess-fed75aad,2026-09-02T17:36:05.126754+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2905,1,0.218,viewed_step_1
sess-fed75aad,2026-09-02T17:36:05.129011+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2905,2,0.218,viewed_step_2
sess-fed75aad,2026-09-02T17:36:05.131181+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2905,3,0.218,viewed_step_3
sess-fed75aad,2026-09-02T17:36:05.133294+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2905,4,0.218,viewed_step_4
sess-fed75aad,2026-09-02T17:36:05.135868+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2905,4,0.576,quiz_correct
sess-2f1376d9,2026-09-02T17:36:05.410635+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4406,1,0.330,initialized
sess-2f1376d9,2026-09-02T17:36:05.411027+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4406,1,0.330,viewed_step_1
sess-2f1376d9,2026-09-02T17:36:05.413635+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4406,2,0.330,viewed_step_2
sess-2f1376d9,2026-09-02T17:36:05.416133+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4406,3,0.330,viewed_step_3
sess-2f1376d9,2026-09-02T17:36:05.418376+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4406,4,0.330,viewed_step_4
sess-2f1376d9,2026-09-02T17:36:05.420642+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4406,4,0.693,quiz_correct
sess-2624be3e,2026-09-02T17:43:37.835484+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2909,1,0.218,initialized
sess-2624be3e,2026-09-02T17:43:37.835876+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2909,1,0.218,viewed_step_1
sess-2624be3e,2026-09-02T17:43:37.839800+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2909,2,0.218,viewed_step_2
sess-2624be3e,2026-09-02T17:43:37.843569+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2909,3,0.218,viewed_step_3
sess-2624be3e,2026-09-02T17:43:37.846581+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2909,4,0.218,viewed_step_4
sess-2624be3e,2026-09-02T17:43:37.850624+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2909,4,0.576,quiz_correct
sess-fc693902,2026-09-02T17:43:38.155492+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4411,1,0.331,initialized
sess-fc693902,2026-09-02T17:43:38.155858+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4411,1,0.331,viewed_step_1
sess-fc693902,2026-09-02T17:43:38.157841+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4411,2,0.331,viewed_step_2
sess-fc693902,2026-09-02T17:43:38.159800+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4411,3,0.331,viewed_step_3
sess-fc693902,2026-09-02T17:43:38.161684+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4411,4,0.331,viewed_step_4
sess-fc693902,2026-09-02T17:43:38.163513+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4411,4,0.694,quiz_correct
sess-270238dd,2026-09-02T17:48:49.476819+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2924,1,0.219,initialized
sess-270238dd,2026-09-02T17:48:49.477205+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2924,1,0.219,viewed_step_1
sess-270238dd,2026-09-02T17:48:49.479451+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2924,2,0.219,viewed_step_2
sess-270238dd,2026-09-02T17:48:49.481625+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2924,3,0.219,viewed_step_3
sess-270238dd,2026-09-02T17:48:49.484177+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2924,4,0.219,viewed_step_4
sess-270238dd,2026-09-02T17:48:49.487355+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2924,4,0.577,quiz_correct
sess-e8db2a81,2026-09-02T17:48:49.758954+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4418,1,0.331,initialized
sess-e8db2a81,2026-09-02T17:48:49.759253+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4418,1,0.331,viewed_step_1
sess-e8db2a81,2026-09-02T17:48:49.760853+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4418,2,0.331,viewed_step_2
sess-e8db2a81,2026-09-02T17:48:49.763149+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4418,3,0.331,viewed_step_3
sess-e8db2a81,2026-09-02T17:48:49.765076+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4418,4,0.331,viewed_step_4
sess-e8db2a81,2026-09-02T17:48:49.766564+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4418,4,0.694,quiz_correct
sess-1346cd10,2026-09-02T17:59:47.322145+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,1,0.220,initialized
sess-1346cd10,2026-09-02T17:59:47.322531+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,1,0.220,viewed_step_1
sess-1346cd10,2026-09-02T17:59:47.325261+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,2,0.220,viewed_step_2
sess-1346cd10,2026-09-02T17:59:47.327679+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,3,0.220,viewed_step_3
sess-1346cd10,2026-09-02T17:59:47.329723+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,4,0.220,viewed_step_4
sess-1346cd10,2026-09-02T17:59:47.332453+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,4,0.578,quiz_correct
sess-6cf43dc5,2026-09-02T17:59:47.663685+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,1,0.325,initialized
sess-6cf43dc5,2026-09-02T17:59:47.663971+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,1,0.325,viewed_step_1
sess-6cf43dc5,2026-09-02T17:59:47.665926+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,2,0.325,viewed_step_2
sess-6cf43dc5,2026-09-02T17:59:47.667629+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,3,0.325,viewed_step_3
sess-6cf43dc5,2026-09-02T17:59:47.669004+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,4,0.325,viewed_step_4
sess-6cf43dc5,2026-09-02T17:59:47.670316+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,4,0.689,quiz_correct
sess-d8ade53f,2026-09-02T18:03:24.737832+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,1,0.220,initialized
sess-d8ade53f,2026-09-02T18:03:24.738185+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,1,0.220,viewed_step_1
sess-d8ade53f,2026-09-02T18:03:24.741316+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,2,0.220,viewed_step_2
sess-d8ade53f,2026-09-02T18:03:24.743724+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,3,0.220,viewed_step_3
sess-d8ade53f,2026-09-02T18:03:24.745926+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,4,0.220,viewed_step_4
sess-d8ade53f,2026-09-02T18:03:24.749266+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,4,0.578,quiz_correct
sess-5cbea7c7,2026-09-02T18:03:25.106036+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,1,0.325,initialized
sess-5cbea7c7,2026-09-02T18:03:25.106598+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,1,0.325,viewed_step_1
sess-5cbea7c7,2026-09-02T18:03:25.109070+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,2,0.325,viewed_step_2
sess-5cbea7c7,2026-09-02T18:03:25.110861+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,3,0.325,viewed_step_3
sess-5cbea7c7,2026-09-02T18:03:25.112404+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,4,0.325,viewed_step_4
sess-5cbea7c7,2026-09-02T18:03:25.115004+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,4,0.689,quiz_correct
sess-7ea143ff,2026-09-03T04:52:58.745576+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,1,0.220,initialized
sess-7ea143ff,2026-09-03T04:52:58.745965+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,1,0.220,viewed_step_1
sess-7ea143ff,2026-09-03T04:52:58.748691+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,2,0.220,viewed_step_2
sess-7ea143ff,2026-09-03T04:52:58.751327+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,3,0.220,viewed_step_3
sess-7ea143ff,2026-09-03T04:52:58.753240+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,4,0.220,viewed_step_4
sess-7ea143ff,2026-09-03T04:52:58.755289+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,4,0.578,quiz_correct
sess-e7ef6c82,2026-09-03T04:52:59.203117+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,1,0.325,initialized
sess-e7ef6c82,2026-09-03T04:52:59.203433+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,1,0.325,viewed_step_1
sess-e7ef6c82,2026-09-03T04:52:59.204864+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,2,0.325,viewed_step_2
sess-e7ef6c82,2026-09-03T04:52:59.206428+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,3,0.325,viewed_step_3
sess-e7ef6c82,2026-09-03T04:52:59.208063+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,4,0.325,viewed_step_4
sess-e7ef6c82,2026-09-03T04:52:59.209420+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,4,0.689,quiz_correct
sess-5dbb24b6,2026-09-03T04:53:56.786926+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,1,0.220,initialized
sess-5dbb24b6,2026-09-03T04:53:56.787368+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,1,0.220,viewed_step_1
sess-5dbb24b6,2026-09-03T04:53:56.789881+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,2,0.220,viewed_step_2
sess-5dbb24b6,2026-09-03T04:53:56.792851+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,3,0.220,viewed_step_3
sess-5dbb24b6,2026-09-03T04:53:56.795718+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,4,0.220,viewed_step_4
sess-5dbb24b6,2026-09-03T04:53:56.797904+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2940,4,0.578,quiz_correct
sess-38479725,2026-09-03T04:53:57.225191+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,1,0.325,initialized
sess-38479725,2026-09-03T04:53:57.225478+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,1,0.325,viewed_step_1
sess-38479725,2026-09-03T04:53:57.226996+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,2,0.325,viewed_step_2
sess-38479725,2026-09-03T04:53:57.228397+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,3,0.325,viewed_step_3
sess-38479725,2026-09-03T04:53:57.230136+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,4,0.325,viewed_step_4
sess-38479725,2026-09-03T04:53:57.231717+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4332,4,0.689,quiz_correct
sess-8ba494a6,2026-09-03T05:10:29.241976+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2777,1,0.208,initialized
sess-8ba494a6,2026-09-03T05:10:29.242328+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2777,1,0.208,viewed_step_1
sess-8ba494a6,2026-09-03T05:10:29.244671+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2777,2,0.208,viewed_step_2
sess-8ba494a6,2026-09-03T05:10:29.247064+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2777,3,0.208,viewed_step_3
sess-8ba494a6,2026-09-03T05:10:29.249088+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2777,4,0.208,viewed_step_4
sess-8ba494a6,2026-09-03T05:10:29.250987+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2777,4,0.563,quiz_correct
sess-979132f5,2026-09-03T05:10:29.688682+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4335,1,0.325,initialized
sess-979132f5,2026-09-03T05:10:29.689064+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4335,1,0.325,viewed_step_1
sess-979132f5,2026-09-03T05:10:29.691118+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4335,2,0.325,viewed_step_2
sess-979132f5,2026-09-03T05:10:29.692599+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4335,3,0.325,viewed_step_3
